,Unnamed: 0,lang,sensitive,retweet,reply,likes,quote,created,text,id,author_id,sentiment,topic
3356,3356,en,FALSE,0,0,0,0,2021-12-05T07:37:42.000Z,Congratulations Walkinshaw wins Bathurst1000 well dune Chaz GO HOLDEN https://t.co/FxrZ8A65IG,1.47E+18,1907923994,neutral,other
596,596,en,FALSE,0,0,1,0,2021-12-06T18:22:53.000Z,I am not sold on Dune as a novel,1.47E+18,2580449168,negative,book
926,926,en,FALSE,2,4,13,0,2021-12-06T14:32:38.000Z,"In SFE, film/tv coverage of individual shows is more personalized than of authors etc: because they're usually single works; &amp; because with the huge online coverage of film &amp; tv (cf IMDB), we feel freer to add comments. Here's a 1st take on  DUNE: Part One https://t.co/iHFkr5ZKnl",1.47E+18,417214991,neutral,book
1989,1989,en,FALSE,0,0,4,0,2021-12-05T23:37:18.000Z,"me looking up what the fuck is going on in dune so i can be prepared for part two 
 https://t.co/YYZV0HSsgO",1.47E+18,1.13E+18,neutral,other
8310,8310,en,FALSE,0,0,1,0,2021-12-03T03:22:34.000Z,"My latest column for @TDAN_com, combines reflections on Data Discovery, Douglas Hofstadter's GEB, Frank Herbert's #Dune, music pedagogy, #MachineLearning and #ArtificialIntelligence https://t.co/DSpMjRxLaY",1.47E+18,3457711821,neutral,other
834,834,en,FALSE,0,0,0,0,2021-12-06T15:53:20.000Z,"Maybe. This I’ll get a like, it’s our pal Paul

#fanart #Dune #TimotheeChalamet https://t.co/DHDqqOZ5wC",1.47E+18,1.36E+18,neutral,other
8651,8651,en,FALSE,0,1,1,0,2021-12-03T00:46:18.000Z,"Why does @CineplexMovies keep stale, so-so movies like DUNE and ETERNALS in their comfy AVX auditoriums but relegate the 2.5 hour, new release Spielberg spectacle WEST SIDE STORY to the standard seats?! #WestSideStoryMovie",1.47E+18,1.40E+18,negative,theatre or streaming service
216,216,en,FALSE,1,0,2,0,2021-12-06T22:03:34.000Z,"we are available on https://t.co/G8QYp4PzVx
check out there to see IdaMurni Performance.
https://t.co/kyKDVcavOM",1.47E+18,1.45E+18,neutral,other
6065,6065,en,FALSE,0,0,0,0,2021-12-04T02:51:43.000Z,why the reflection kinda look like timothee in dune https://t.co/0QwP7x1cRD,1.47E+18,2307997741,neutral,other
8089,8089,en,FALSE,0,1,2,0,2021-12-03T05:55:41.000Z,Yo where tf does the sardaukar army come from in dune a friend and i are arguing and i’m saying they were already on arrakis,1.47E+18,1.39E+18,neutral,other
1717,1717,en,FALSE,0,0,8,0,2021-12-06T02:32:05.000Z,Why should you read “Dune” by Frank Herbert? - Dan Kwartler https://t.co/Sr0TDOBQY6 via @YouTube,1.47E+18,80545858,positive,book
3202,3202,en,FALSE,0,0,0,0,2021-12-05T09:54:41.000Z,VLOG Newbie Dune Bashing Drive with the The Big Boys Drive 1 https://t.co/0Hwtv5v4Os via @YouTube,1.47E+18,1.47E+18,neutral,other
4637,4637,en,FALSE,0,0,0,0,2021-12-04T19:31:06.000Z,The latest The Meerkatx Daily! https://t.co/kXq1RP0zHq Thanks to @BlizzardWatch #dune #ignobels2021,1.47E+18,23190257,neutral,other
3681,3681,en,FALSE,0,0,1,0,2021-12-05T04:08:20.000Z,"Dune be like…

This is the most important thing in the entire universe: https://t.co/BaSFZgE1eM",1.47E+18,287937911,neutral,other
6477,6477,en,FALSE,0,2,10,0,2021-12-03T22:52:02.000Z,DUNE day today 😀,1.47E+18,87386850,positive,other
8283,8283,en,FALSE,0,0,0,0,2021-12-03T03:42:37.000Z,"Dune deserves the award the most. Suicide Squad was another great looking film and Shang-Chi had decent effects. Though I will say imo GvK had better visuals than 3 movies on this list, I’d say about on par with Suicide Squad and under Dune. https://t.co/JvUq6NKVg1",1.47E+18,8.65E+17,positive,awards or nomination
5516,5516,en,FALSE,0,1,0,0,2021-12-04T08:45:22.000Z,"Newcastle land boost à la poursuite d’une star de 8 millions de livres sterling qui adore Hatem Ben Arfa https://t.co/uwbgdgNTcI : It’s very true, HATEM BEN ARFA is one of the greatest. It’s a pity he’s so attached to France and french football. BEN AFRA knows no equal !",1.47E+18,1.11E+18,neutral,other
110,110,en,FALSE,1,1,1,0,2021-12-06T22:55:58.000Z,Dune that never got made? https://t.co/nSE1pdGAzY,1.47E+18,1.30E+18,neutral,other
1836,1836,en,FALSE,0,0,0,0,2021-12-06T01:04:18.000Z,ppl who do a lot of counting without calculator is dune reference https://t.co/BacFgjHoYr,1.47E+18,1.35E+18,neutral,other
6409,6409,en,FALSE,0,0,5,1,2021-12-03T23:27:55.000Z,Just saw #Dune at the flicks. Oh my heavenly eyeballs. How faithful and perfect a retelling 😱💥🙏🏼❤️☝🏼,1.47E+18,21204753,positive,review or commentary
379,379,en,FALSE,0,0,1,0,2021-12-06T20:37:58.000Z,Enjoyed Dune. Good pacing. I did feel shoehorning Apocalypse Now imagery into it felt pretty ham-fisted. Looking forward to the next chapter.,1.47E+18,1.21E+18,positive,review or commentary
534,534,en,FALSE,1,1,7,0,2021-12-06T19:02:19.000Z,"""MY DUNE"" 
0,5 tez | 35 ed
(new price)

https://t.co/wiaGAJz26Z
https://t.co/ULMr7CwLKO

#NFTs #tezos #HEN #hicetnunc #hicetnunc2000 #NFTcollector #CleanNFT https://t.co/vyj0sI4q7W",1.47E+18,1.43E+18,neutral,other
7241,7241,en,FALSE,0,0,0,0,2021-12-03T15:35:10.000Z,"#IDPWD #BrightestMoonJin #WELvWSW #Greens #SpotifyWrapped #Seoul #StanGrant #seokjin #Dune
#Auba #coorey #WillBrown #FairWorkCommission
#CraigKelly #davesharma #Rachelle
YouTube
https://t.co/GcpC4dkH7K",1.47E+18,1.46E+18,neutral,other
2824,2824,en,FALSE,0,0,2,0,2021-12-05T15:14:43.000Z,my toxic trait is thinking i could handle the pain box from dune,1.47E+18,9.57E+17,neutral,other
41,41,en,FALSE,1,12,50,0,2021-12-06T23:29:29.000Z,My mom saw this tweet and wants you all to know that a) of course Chalamet is a Jew and I was wrong for thinking she's wrong and b) she had other thoughts on Dune https://t.co/KowGJOBEnR,1.47E+18,312336521,neutral,actors or characters
7552,7552,en,FALSE,0,0,2,0,2021-12-03T12:30:29.000Z,"Dune is great, see it in cinemas plz.",1.47E+18,148653060,positive,review or commentary
5057,5057,en,FALSE,0,1,0,0,2021-12-04T14:47:39.000Z,"this is where i saw nick &amp; norah, twilight midnight release, harry potter 5-7 midnight releases, dune, etc. btw
https://t.co/8uU0M8fwWE",1.47E+18,33701300,neutral,theatre or streaming service
4296,4296,en,FALSE,0,1,4,0,2021-12-04T22:30:33.000Z,Took my son to see Dune last night. Man what a cracker of a movie 🎥,1.47E+18,3268854313,positive,review or commentary
3786,3786,en,FALSE,0,0,5,0,2021-12-05T03:01:46.000Z,my only character flaw is I’ve been trying to read dune for 14 months and am only 150 pages in.,1.47E+18,4893224169,neutral,book
2341,2341,en,FALSE,0,0,16,0,2021-12-05T20:20:42.000Z,"Dune. 

Art by Mary Glaid. https://t.co/psyIlSeQVQ",1.47E+18,120602161,neutral,other
1967,1967,en,FALSE,1,0,1,0,2021-12-05T23:50:48.000Z,I liked Dune. Not seen a film in ages. Felt immersed because they were wearing masks on screen too. Made me miss the desert. I like a story that you carry with you a wee while after.,1.47E+18,3088699077,positive,review or commentary
1326,1326,en,FALSE,0,0,0,0,2021-12-06T07:37:31.000Z,"Smoke over Dune, the cries of Daedra, and Stonefire cultists in the streets. Javad Tharn has grown tired of waiting, it would seem.",1.47E+18,1.30E+18,neutral,actors or characters
6525,6525,en,FALSE,0,0,2,0,2021-12-03T22:26:52.000Z,"If you can ignore the low budget late 90’s SFX this is an excellent version of Dune and the follow up, Children of Dune,  is even better. https://t.co/C9bDOqCuvq",1.47E+18,6994412,positive,review or commentary
2093,2093,en,FALSE,0,1,4,0,2021-12-05T22:30:00.000Z,i can’t stop watching dune (1984) i know watch #4 in a fortnight is coming this week 🥲,1.47E+18,2336234117,positive,review or commentary
6087,6087,en,FALSE,0,0,1,0,2021-12-04T02:39:55.000Z,"Reading #Dune for the first time. 

#BeneGesserit = Women with “special” powers to 1) understand and control their own emotions, 2) observe and assess human behavior, and 3) use talk to direct thought and action. 

An army of female psychologists?",1.47E+18,1548062725,neutral,book
5221,5221,en,FALSE,1,1,2,0,2021-12-04T12:22:45.000Z,"Spoiler freeish review or commentary of Dune.

It's pretty good.

My favourite line from the book wasn't in it.

I wish the last line of Paul's had been ""Tell me, what's the name of that small desert mouse?""

""Muad'Dib.""",1.47E+18,9.30E+17,positive,review or commentary
2423,2423,en,FALSE,0,1,0,0,2021-12-05T19:31:48.000Z,Dune was probably my biggest disappointment of 2022,1.47E+18,406626232,negative,review or commentary
5468,5468,en,FALSE,0,0,0,0,2021-12-04T09:30:02.000Z,timothee chalamet in dune...mayhaps the hets were right,1.47E+18,8.20E+17,neutral,actors or characters
1956,1956,en,FALSE,0,7,59,0,2021-12-05T23:56:02.000Z,Ultimately @ejbenson won at Dune Imperium but we have to consider Harkonnen perfidy may have played a role @direwolf https://t.co/6I74ZiBtUJ,1.47E+18,14303746,neutral,other
4109,4109,en,FALSE,0,0,0,0,2021-12-05T00:03:38.000Z,I watch Dune now B),1.47E+18,1.30E+18,neutral,other
2644,2644,en,FALSE,0,1,1,0,2021-12-05T17:10:10.000Z,Dune outgrossed an MCU movie....can't believe it. https://t.co/45idatihzV,1.47E+18,17729588,neutral,other
8731,8731,en,FALSE,1,0,8,0,2021-12-03T00:06:07.000Z,"Very much enjoyed editing this, and it actually increased my appreciation for Villeneuve's DUNE even as it waffled on the film, which is what you want an essay like this to do! https://t.co/Trf2oo5BH9",1.47E+18,2559188539,positive,review or commentary
3757,3757,en,FALSE,0,0,0,0,2021-12-05T03:19:53.000Z,Time to watch dune,1.47E+18,233380262,neutral,other
3715,3715,en,FALSE,0,0,6,0,2021-12-05T03:42:59.000Z,finished dune and i alrd want part 2 why is until 2023,1.47E+18,9.45E+17,positive,review or commentary
6522,6522,en,TRUE,0,1,0,0,2021-12-03T22:29:18.000Z,My ★★★★★ review or commentary of Dune on Letterboxd https://t.co/JJ2GsGysBK,1.47E+18,562227383,positive,review or commentary
4335,4335,en,FALSE,0,0,4,0,2021-12-04T22:05:34.000Z,"Finally got around to seeing DUNE: PART ONE (as it is billed in the opening credits) on the ideally suited IMAX screen. A visual stunner, although the little desert mouse steals the show. And while the sandworms are impressive, I’m more of a TREMORS graboid kind of guy. #Dune https://t.co/9wjBOYCzCn",1.47E+18,3186170102,positive,cinematography or videography
3983,3983,en,FALSE,0,0,0,0,2021-12-05T01:04:40.000Z,I have read Dune repeatedly since Highschool and never pieced this together. .   https://t.co/gE4hEozeL8,1.47E+18,307357677,positive,book
6459,6459,en,FALSE,0,1,3,0,2021-12-03T23:01:54.000Z,Dune is cool with all those amazing visuals and scope but it ends essentially with the street fight from “Beat It” #Dune,1.47E+18,23054395,positive,cinematography or videography
6801,6801,en,FALSE,0,0,1,0,2021-12-03T19:47:17.000Z,"-Bill Murray: “Just try to make it sound like you wrote it that way on purpose.”
-Luca and Alberto riding their little bike
-All of Dune
-Bloodsport petting the rat
-Tom Hardy: “Because I’m a real boy, and you’re just an amoeba.” https://t.co/PkUNuVJ3s2",1.47E+18,1.14E+18,neutral,actors or characters
8018,8018,en,FALSE,0,0,8,0,2021-12-03T06:58:18.000Z,The Fremen from #Dune be like: https://t.co/RHjupNB4kF https://t.co/D7EW3bjJO7,1.47E+18,1418453300,neutral,actors or characters
7189,7189,en,FALSE,0,1,4,0,2021-12-03T16:00:02.000Z,"Hey look, they turned DUNE into a video game. XD https://t.co/fO21vX2Zg4",1.47E+18,7.99E+17,neutral,other
4223,4223,en,FALSE,1,4,47,0,2021-12-04T23:07:13.000Z,Finished Dune (the book) and its appendices. It was very good! I look forward to seeing how Denis Villeneuve interprets the second half for the next film.,1.47E+18,1403129251,positive,review or commentary
7717,7717,en,FALSE,1,1,0,0,2021-12-03T10:36:49.000Z,"my top 3 movies in 2021
1. #Dune 
2. #Shangchi 
3. #TheSuicideSquad https://t.co/PuNdD1EiHs",1.47E+18,1.16E+18,positive,review or commentary
1421,1421,en,FALSE,0,0,0,0,2021-12-06T05:58:06.000Z,"Love all my faves are getting their fcking projects in tune.

@HaileeSteinfeld - #arcane 2 , #hawkeye , #SpiderManAcrossTheSpiderVerse 

#CharlieCox  - #Daredevil 
@RealChalamet - #dune and still hopeful for his marvel debut as wiccan.",1.47E+18,1326760381,positive,actors or characters
5592,5592,en,FALSE,0,0,0,0,2021-12-04T07:53:00.000Z,"""Ohhh my god,you are more beautiful without clothes, the sight of the pussy is so amazing that I will die now. How beautiful the small bush is ,just as a oasis on a sand dune. Your mound looks like a sand dune. Soft and fleshy and your skin is like satin....""He said",1.47E+18,1.39E+18,neutral,other
7765,7765,en,FALSE,0,1,1,0,2021-12-03T10:01:02.000Z,The Dark Tower is just Dune with yeehaw instead of spice,1.47E+18,8.42E+17,neutral,other
5477,5477,en,FALSE,0,0,0,0,2021-12-04T09:24:37.000Z,good emperor of dune is getting 5 out of 5 stars on goodreads. i’m actually speechless that was so fucking good,1.47E+18,3293793331,positive,review or commentary
3679,3679,en,FALSE,0,1,5,0,2021-12-05T04:08:36.000Z,hi. i finally watched dune and it was fukn incredible,1.47E+18,588808901,positive,review or commentary
57,57,en,FALSE,0,0,0,0,2021-12-06T23:17:54.000Z,What Accounts For The Lasting Appeal Of 'Dune'? https://t.co/QviedLnIw5,1.47E+18,3360629141,positive,other
7724,7724,en,FALSE,0,0,0,0,2021-12-03T10:31:01.000Z,Destroy All Humans and Comanche Developer Will Help Create Dune Game https://t.co/gpsKzcsiqb,1.47E+18,8.64E+17,neutral,other
5606,5606,en,FALSE,0,1,0,0,2021-12-04T07:40:44.000Z,I need to rewatch dune and eternals,1.47E+18,9.87E+17,positive,review or commentary
5555,5555,en,FALSE,0,1,0,0,2021-12-04T08:14:42.000Z,"Content warning: I’m gonna spill some disturbing tea about Dune in this reply having to do with Baron Harkonnen 🙃
(Spoiler content, sexual assault, p*dophilia, tw)",1.47E+18,1.18E+18,neutral,actors or characters
5829,5829,en,FALSE,0,2,4,0,2021-12-04T05:05:00.000Z,damn.  new dune is really good tbqh,1.47E+18,607621740,positive,review or commentary
6369,6369,en,FALSE,0,0,0,0,2021-12-03T23:51:40.000Z,New features to RØDE Connect v1. My whole TL talking about Dune and it's just lost its magic.,1.47E+18,1.12E+18,negative,other
960,960,en,FALSE,0,0,0,0,2021-12-06T14:07:04.000Z,Just played: Save Your Sorries - JRM - DUNE DRIFT III (Topaz),1.47E+18,211291588,neutral,soundtrack or sound quality
7393,7393,en,FALSE,10,3,41,0,2021-12-03T14:01:04.000Z,"Before the Cameras Even Roll, “A Movie Lives or Dies by Casting” https://t.co/Szjq7yyXGx",1.47E+18,17446621,neutral,actors or characters
4726,4726,en,FALSE,0,0,2,0,2021-12-04T18:27:31.000Z,"had a dream that involved seeing Dune Part Two which was already out, but I woke up and it isn’t out, don’t text.

oh also Feyd-Rautha was Will Poulter",1.47E+18,1401175010,positive,other
842,842,en,FALSE,0,0,0,0,2021-12-06T15:45:48.000Z,Okay so Dune is not my type of film 😑,1.47E+18,1034658145,negative,review or commentary
7723,7723,en,FALSE,0,0,0,0,2021-12-03T10:31:52.000Z,Dune. Should I be excited? #DuneMovie,1.47E+18,41696808,neutral,other
4808,4808,en,FALSE,1,7,105,0,2021-12-04T17:38:56.000Z,"Just finished Dune. If you somehow couldn't tell, I really, really liked it",1.47E+18,1.11E+18,positive,review or commentary
3794,3794,en,FALSE,0,0,5,0,2021-12-05T02:59:33.000Z,saw dune and i enjoyed the sand,1.47E+18,17968925,positive,review or commentary
7794,7794,en,FALSE,0,0,0,0,2021-12-03T09:42:09.000Z,"Star Trek canon keeps stealing the best thing from Dune

https://t.co/z0PxMCkd0E",1.47E+18,1182947209,neutral,other
8558,8558,en,FALSE,0,0,0,0,2021-12-03T01:23:46.000Z,Dune https://t.co/EIWWJ28UwM,1.47E+18,27007967,neutral,other
1233,1233,en,FALSE,0,0,0,0,2021-12-06T09:35:38.000Z,"Heavens, Dune is fascistic - look at that SS uniform on our messianic hero! https://t.co/6QTV8kRvia",1.47E+18,48008255,positive,review or commentary
8211,8211,en,FALSE,0,2,4,0,2021-12-03T04:30:39.000Z,Dune was amazing. Absolutely amazing. It really needs to be seen on the huge screen.,1.47E+18,1096974031,positive,review or commentary
2976,2976,en,FALSE,0,0,0,0,2021-12-05T13:12:43.000Z,I am dead! 😂😂😂😂 #thanksmariecallender #sharonweiss #pumpkinpie #Dune https://t.co/JODa7pU8Lw,1.47E+18,1069413204,neutral,other
7609,7609,en,FALSE,0,0,1,0,2021-12-03T11:58:06.000Z,The Dune of the Attack,1.47E+18,8.72E+17,neutral,other
6364,6364,en,FALSE,4,0,10,0,2021-12-03T23:52:29.000Z,"Dune Lenticular Digibook 44P (4K-UHD)
Pre-order Sold Out 😲 https://t.co/clX1VpWVtv",1.47E+18,9.78E+17,neutral,book
8339,8339,en,FALSE,0,0,0,0,2021-12-03T03:02:56.000Z,[EN] This will be Dune (2021) in 2021 graphics https://t.co/Z045fxYRnS,1.47E+18,1584523574,neutral,cinematography or videography
4746,4746,en,FALSE,0,1,0,0,2021-12-04T18:17:22.000Z,"should i watch dune, hp or lord of the rings???",1.47E+18,1.38E+18,neutral,other
2797,2797,en,FALSE,0,2,1,0,2021-12-05T15:35:19.000Z,i put dune and obx into an ai drawing app 🤩 https://t.co/08BhBq9uY5,1.47E+18,1.21E+18,neutral,other
8524,8524,en,FALSE,0,0,4,0,2021-12-03T01:39:51.000Z,#Dune all the way!! #SCAwards https://t.co/V9odrZks1S,1.47E+18,2470976880,positive,awards or nomination
7371,7371,en,FALSE,0,0,34,0,2021-12-03T14:10:01.000Z,"Astounding work by @MattFieldUK &amp; all our teams in Sarajevo &amp; London and further afield. Thank you. Proud we could do so much with so many. A great week for UK 🇬🇧 relations w/ #BiH 🇧🇦.

It wasn’t me going to see Dune! https://t.co/PIRrUvuxZ0",1.47E+18,3367136692,neutral,other
7392,7392,en,FALSE,0,0,2,1,2021-12-03T14:01:34.000Z,Sure Denis Villeneuve's #Dune may make sense but does it really transport you to another world like Lynch's version? I mean a cat gets milked in it and there's a rat there just to watch. You won't see that in any other blockbuster. Listen to our review or commentary at https://t.co/EUFKHqY8eI. https://t.co/f7kKvqMVi7,1.47E+18,1.01E+18,neutral,review or commentary
2239,2239,en,FALSE,0,5,19,0,2021-12-05T21:14:43.000Z,"Haven’t read Dune and not sure if I ever will but I think we can all agree that it would be a much stronger work of fiction if, instead of Paul and Jessica, they were named Chad and Stacey Atreides.",1.47E+18,7.99E+17,neutral,book
952,952,en,FALSE,25,19,81,3,2021-12-06T14:13:50.000Z,Been there DUNE that !! 🌵 https://t.co/YblSAq3scl,1.47E+18,49939631,neutral,other
243,243,en,FALSE,0,0,0,0,2021-12-06T21:50:05.000Z,Dune 2 soundtrack collabs. @Grimezsz and @HansZimmer and @phillipglass and me too electric violin would be really nice. 😁😃,1.47E+18,1086652718,positive,soundtrack or sound quality
7746,7746,en,FALSE,0,0,0,0,2021-12-03T10:10:09.000Z,"Dune Bashing Desert Safari &amp; Arab Campsite in the UAE 🐪
https://t.co/DRFcV1PDnh
More at https://t.co/YOXeGxvBXO

#DuneBashing #Dubai #Desert #Safari",1.47E+18,3621005122,neutral,other
1825,1825,en,FALSE,0,0,3,0,2021-12-06T01:10:48.000Z,Going and seeing Dune at Hoyts Xtreme Screen meant I became Cletus Kasady for the evening. https://t.co/UcDan14e3C,1.47E+18,4695101358,positive,theatre or streaming service
1125,1125,en,FALSE,3,3,38,0,2021-12-06T11:40:03.000Z,"I'm not going to argue that our upper echelons of power are not STUFFED with blithering idiots who have ZERO business occupying the seats that they do (see: Every GQP Supreme Court pick) but I *promise* you, Michelle Obama is the f---ing eye-calculator #Dune guy compared to MTG https://t.co/ANELsJQwK0",1.47E+18,264050862,neutral,other
1288,1288,en,FALSE,0,0,2,0,2021-12-06T08:27:08.000Z,The First Order scenes in star wars would have looked better if they had a little weirdness like this. Like the throat singing in Dune. Gotta get the 'culture' in. https://t.co/RCP2Lyqa5z,1.47E+18,9.44E+17,neutral,other
8344,8344,en,FALSE,1,3,40,1,2021-12-03T03:01:14.000Z,"Hmm... First time seeing MM sharing Fan-Art 🤔

*cough cough* I've been busy
@ Star Wars, @ Dune, @ Nickelodeon, @ Pixar 😉 jk

#MadeInDreams https://t.co/DOnBBtRs67 https://t.co/gPxSDJgK7G",1.47E+18,904131307,neutral,other
7205,7205,en,FALSE,0,3,3,0,2021-12-03T15:53:59.000Z,"fave first watches of november!! (in order; inside, dune, gone girl, &amp; the french dispatch) https://t.co/W12mdWkQlk",1.47E+18,3708117676,positive,review or commentary
5166,5166,en,FALSE,0,0,0,0,2021-12-04T13:07:31.000Z,Saw #DuneMovie tonight and damn was it good! Momoa is great and Skarsgård is utterly disgusting as the Baron. Makes me appreciate the book even more #Dune,1.47E+18,257300217,positive,review or commentary
4375,4375,en,FALSE,0,0,1,0,2021-12-04T21:49:39.000Z,It's not the size of the tip ... wait! Yes it is! Thank you for the 1001 credit tip! https://t.co/iJCIN8u9Et https://t.co/6oAyfXEsSM,1.47E+18,1.31E+18,neutral,other
5063,5063,en,FALSE,0,0,0,0,2021-12-04T14:42:03.000Z,WOMENS DUNE SUEDE PLATFORM PURPLE SHOES SIZE 4 BNWB https://t.co/8a3WEyInJW eBay https://t.co/j8I0ECiDJ5,1.47E+18,1.45E+18,neutral,other
7270,7270,en,FALSE,0,0,1,0,2021-12-03T15:18:37.000Z,"NYFCC predictions
Film: The Power of the Dog
Direc: Jane Campion
Actress: Penélope Cruz
Actor: Nicolas Cage
Supp Actress: Ruth Negga
Supp Actor: Smit-McPhee
Screenplay: A Hero
Ani: Flee
Doc: Flee
For: Hive
1st: The Lost Daughter
Cine: Dune",1.47E+18,1.20E+18,positive,actors or characters
4210,4210,en,FALSE,0,0,0,0,2021-12-04T23:13:15.000Z,Dune (2021) ★★★★★★★★★★ https://t.co/DnE7c01JBd #trakt,1.47E+18,1.17E+18,positive,review or commentary
7708,7708,en,FALSE,0,0,0,0,2021-12-03T10:44:38.000Z,im going to finally see dune tonight who cheered,1.47E+18,1.13E+18,neutral,theatre or streaming service
7155,7155,en,FALSE,0,0,0,0,2021-12-03T16:16:26.000Z,Dune is One of the Best Films of 2021 | Tilt Magazine https://t.co/jOs6g560uH,1.47E+18,4432666306,positive,review or commentary
8160,8160,en,FALSE,0,0,2,0,2021-12-03T05:06:43.000Z,"The Green Knight
Zack Snyder's Justice League
No Time To Die
The Suicide Squad
Dune https://t.co/UJBKUSgKdR",1.47E+18,1.13E+18,neutral,other
1150,1150,en,FALSE,0,2,3,0,2021-12-06T11:13:08.000Z,"I was going to listen to the 2021 Dune soundtrack this morning but I sort of got sidetracked. Sometimes you just have to go with the absolute classics.

https://t.co/AbK10XdBeZ",1.47E+18,5926092,neutral,soundtrack or sound quality
2077,2077,en,FALSE,0,1,8,0,2021-12-05T22:37:41.000Z,me if I was a character in Dune riding a sandworm https://t.co/qxkVan769j,1.47E+18,7.77E+17,neutral,actors or characters
4996,4996,en,FALSE,0,0,0,0,2021-12-04T15:27:47.000Z,Timothee chalamet got the visual but i kenot leh his script and way of talking in dune ⚰,1.47E+18,1.46E+18,negative,actors or characters
3885,3885,en,FALSE,0,5,76,0,2021-12-05T02:12:57.000Z,welcome to day four of Dune Tweets By Me,1.47E+18,3061981022,positive,other
